subseg_id,seg_id_nat,date,site_id,source,time,mean_temp_c,min_temp_c,max_temp_c,sd_mean_temp_c,flag,in_time_holdout,in_space_holdout,test
219_1,1653,2022-01-01,USGS-01437500,nwis_dv,NA,6.3,5.9,6.6,NA,P,FALSE,FALSE,FALSE
220_1,1654,2022-01-01,USGS-01440000,nwis_dv,NA,7.4,6.9,7.9,NA,P; o,FALSE,FALSE,FALSE
222_1,1656,2022-01-01,USGS-01432805,nwis_dv,NA,5.4,5.1,5.8,NA,P,FALSE,FALSE,FALSE
224_1,1658,2022-01-01,USGS-01434000,nwis_dv,NA,5.5,5.1,5.8,NA,NA,FALSE,FALSE,FALSE
225_1,1659,2022-01-01,USGS-01438500,nwis_dv,NA,NA,5.3,6,NA,P,FALSE,FALSE,FALSE
23_1,1457,2022-01-01,USGS-01420500,nwis_dv,NA,5.1,4.8,5.5,NA,P,FALSE,FALSE,FALSE
232_1,1666,2022-01-01,USGS-01440400,nwis_dv,NA,7.1,6.8,7.5,NA,o,FALSE,FALSE,FALSE
233_1,1667,2022-01-01,USGS-01439500,nwis_dv,NA,6.6,6.2,7.1,NA,o,FALSE,FALSE,FALSE
249_1,1683,2022-01-01,USGS-01447500,nwis_dv,NA,6,5.7,6.3,NA,NA,FALSE,FALSE,FALSE
250_1,1684,2022-01-01,USGS-01447720,nwis_dv,NA,5.5,5.1,5.9,NA,NA,FALSE,FALSE,FALSE
261_1,1695,2022-01-01,USGS-01447800,nwis_dv,NA,4.8,4.4,5.6,NA,NA,FALSE,FALSE,FALSE
263_1,1697,2022-01-01,USGS-01449800,nwis_dv,NA,6.5,6.4,6.7,NA,P,FALSE,TRUE,TRUE
265_1,1699,2022-01-01,USGS-01451800,nwis_dv,NA,8,7.4,8.7,NA,NA,FALSE,FALSE,FALSE
